Time,RMSE_LSTM,RMSE_Physical
0,0.013490142459033698,0.008715574720696567
1,0.011585207096486446,0.00912156905273647
2,0.013943065614302077,0.010166102486350553
3,0.016569089569224076,0.010107604104069806
4,0.011297539875829992,0.005244661264085819
5,0.011297589129152458,0.006124349920169754
6,0.016737638446522176,0.00903007053441732
7,0.014302304187458727,0.009027571901824417
8,0.010591576842195144,0.009030095372612096
9,0.013627680130757894,0.015705462981309443
10,0.010609746921562614,0.009141781021386334
11,0.01060281073928923,0.010271131280361199
12,0.012725886814698103,0.009908003526986404
13,0.0062601592660266065,0.009302782502611595
14,0.006825246502460902,0.007369461510719309
15,0.010313137412277082,0.009517938440986536
16,0.008961506638996728,0.006454349570924857
17,0.012942741997785822,0.007526362786519983
18,0.009275927773436367,0.007029272904341793
19,0.007763088895994126,0.008163748278772646
20,0.01639694630676466,0.012629317133347018
21,0.011322671098540394,0.004265469614816504
22,0.012202584614063771,0.009372520380749027
23,0.00772575544135963,0.004774568257620697
24,0.010366851826424453,0.007056136268421134
25,0.012332767769129598,0.010177901193934732
26,0.008547019267733092,0.008128560038190926
27,0.013127094055037015,0.0058445104441413875
28,0.010198083930243585,0.006569392581480064
29,0.01112491875062017,0.009359195497869352
30,0.01019488016331181,0.006539266736565727
31,0.017556834553526815,0.00843291717916395
32,0.011959508325786199,0.008091143679807627
33,0.008826867213132299,0.006696799304788366
34,0.014467634736309567,0.012287888178650652
35,0.008337469050086933,0.009267838044636023
36,0.012626590785014267,0.003949714826684786
37,0.006120989628360674,0.008372908629538855
38,0.00801544185330471,0.006676427070463224
39,0.012590583707607371,0.009704866669592449
40,0.014215399739986232,0.006414958523134599
41,0.012514104843569912,0.007770527117066202
42,0.011653055152835278,0.009009974557960914
43,0.011096688913232134,0.009731510388340242
44,0.007564434028897718,0.005599407185888448
45,0.009840467374815875,0.007330997528318103
46,0.010618083687120639,0.007050109377678088
47,0.015171366678656747,0.0066933415348525765
48,0.013030854868705385,0.011530908480562194
49,0.006710879533911798,0.008809963421921911
50,0.012972251908184386,0.00547823209132991
51,0.010844753158751051,0.009835723894109553
52,0.009969233999082124,0.012244312394025268
53,0.013835028866522605,0.010064930521102293
54,0.015092998567487853,0.004961260068091973
55,0.014793840357348596,0.007031531854267498
56,0.009482347430332085,0.010533822298373246
57,0.011072362872446357,0.006584661068762439
58,0.012993790294210692,0.008887638856292457
59,0.014926635381367077,0.009549268106858674
60,0.01056247728646413,0.0061461390568438344
61,0.01144302307000855,0.0078809492878764
62,0.008680995077981916,0.0015174653198618548
63,0.008411380127757988,0.005951224717331421
64,0.014437577467182595,0.007494863697213679
65,0.01606872008571247,0.005504433636070301
66,0.011783969635258998,0.01126482260786327
67,0.015010598693676073,0.005139717244078735
68,0.013084908075142903,0.007119911026606033
69,0.010064640736184627,0.008261481154572183
70,0.013084186816525243,0.010882546578132231
71,0.01661410969939791,0.005128275697641122
72,0.011892521882670145,0.01032632750430992
73,0.016693930967442018,0.008020466122039174
74,0.004140764687730766,0.006036982697904099
75,0.014465707513125672,0.008924206948526543
76,0.012261141204714514,0.00839811939114694
77,0.011102977948602398,0.006799566245682411
78,0.012275282329606507,0.008139604169980039
79,0.006037293256197322,0.00722937280627648
80,0.011340984336487465,0.008227034690502497
81,0.013071337714535239,0.009324261349042094
82,0.01643368213422455,0.011172033632290704
83,0.010445189345179058,0.005524369002346301
84,0.009574519191320437,0.012266066749312535
85,0.01049472886924639,0.004095824400954996
86,0.014746206353106223,0.0076964298099288335
87,0.012986253328979054,0.009176634412969153
88,0.010410719388698884,0.008561983735470065
89,0.013539802299340068,0.006754600960358813
90,0.012291232648044121,0.00758375549928545
91,0.014905934971598669,0.007013998130682334
92,0.009893840718367942,0.006821270486111577
93,0.011017013560206696,0.00969920419404205
94,0.010823675540603527,0.008714030971930095
95,0.007609455155603645,0.006614180809478691
96,0.012888360831193728,0.009799199750866502
97,0.012783165816539668,0.00861459904175322
98,0.012015340369927383,0.009625724237677921
99,0.01129623859987456,0.009259257683847225
100,0.08084629257949585,0.0066840199563117115
101,0.0920148972745858,0.007759275839212122
102,0.09403420205232761,0.012989174420493048
