Simulation_ID,Convergence_Steps
1,11.648069306540975
2,8.748617321101374
3,8.357786784178286
4,8.357852684137447
5,17.953968216785945
6,13.057166108878716
7,7.448361504137974
8,11.879184777782314
9,10.418246063279613
10,3.2672865762067818
11,5.605660779012346
12,10.757935330740114
13,17.2057013966589
14,8.391456881952868
15,7.173367595525977
16,9.820823039129406
17,6.9713585835581116
18,8.128944763231527
19,9.27514002328729
20,5.468759269161137
21,13.357269729617585
22,4.98993136986455
23,4.690624430748153
24,10.20996891639654
25,12.901237654921234
26,10.093479553656598
27,8.842538959386019
28,8.09192289805979
29,7.481253558827103
30,14.68613607152779
31,10.80472356660843
32,7.7664885886688335
33,6.703542281856032
34,12.233356303704554
35,14.533978782790156
36,13.962806910536463
37,6.156756402284565
38,8.060110953817611
39,7.412363355526964
40,8.553954942259116
41,13.302372174525928
42,16.50475862070022
43,10.984588341010518
44,6.814344159202459
45,9.179401246833574
46,17.856783403000104
47,9.714493729758978
48,8.10016086657093
49,8.416049311506251
50,10.962817206972742
51,6.2578949036935345
52,7.329003675718377
53,13.87326579167821
54,10.826970320916011
55,9.759070354041357
56,14.175037675246974
57,6.616837856643948
58,7.988039786990155
59,10.672067663155087
60,10.507264297438821
61,4.456525044620529
62,7.63134730471939
63,8.653697606613246
64,11.190132505088151
65,10.49088546869183
66,9.01537086447091
67,3.2555170061462655
68,9.219248316809955
69,9.595983526160184
70,24.53328526450957
71,8.526663402091152
72,10.697727508806294
73,15.19276812033171
74,12.973568942162238
75,16.80064065068942
76,4.492304313233158
77,5.674510124423973
78,7.094215652245998
79,4.108885305614692
80,9.632704213598045
81,5.897876419278597
82,17.759020523218314
83,6.341806147555137
84,8.00987217138654
85,13.307797602617573
86,4.961466608308275
87,3.968449982324924
88,10.153985037919867
89,10.501783238753248
90,13.135078770735129
91,11.774869567700492
92,10.676151886423712
93,6.692796887984509
94,10.373174764884313
95,10.657675273218377
96,6.5746814230000545
97,19.937853859339313
98,11.533851817621773
99,5.72381291114188
