Sample_ID,Convergence_Steps,Final_Residual_at_L40
1,11,0.005870719018081594
2,8,0.004393085897628228
3,8,0.004224702585664981
4,8,0.004224730426529503
5,17,0.011029428378458507
6,13,0.006759080072709906
7,7,0.003857449972972832
8,11,0.006007980469853114
9,10,0.005191355260685835
10,3,0.002539326386286675
11,5,0.0032082841576075516
12,10,0.005370729352132674
13,17,0.010234253962635309
14,8,0.0042389511746859804
15,7,0.0037528177039079487
16,9,0.004890294320422647
17,6,0.003677767992316816
18,8,0.004129121458003063
19,9,0.004630589530141236
20,5,0.003164661544478024
21,13,0.0069649968777171336
22,4,0.003016699409535672
23,4,0.0029277453715904275
24,10,0.00508434940635015
25,12,0.0066545042185267265
26,10,0.005025465775813718
27,8,0.00443454085121157
28,8,0.004113862942576514
29,7,0.003870158808046971
30,14,0.007954865811029959
31,10,0.005395916925460778
32,7,0.003982138732162694
33,6,0.0035805786240202283
34,12,0.0062245790424324
35,14,0.00783474292579475
36,13,0.007399784491692098
37,6,0.003390053917782776
38,8,0.004100796738808042
39,7,0.003843588830975138
40,8,0.004308396013523447
41,13,0.006926865509445908
42,16,0.009541455558213187
43,10,0.0054938485457814625
44,6,0.0036204727162378243
45,9,0.004586468374833359
46,17,0.010922758259499855
47,9,0.004838571627870363
48,8,0.004117253326216468
49,8,0.004249388614339958
50,10,0.00548190082496486
51,6,0.003424514385332918
52,7,0.0038116819695986925
53,13,0.007333821753012818
54,10,0.005407934451862715
55,9,0.0048601884913670994
56,14,0.00755850903775044
57,6,0.003549667622547123
58,7,0.004071348065700621
59,10,0.005324809585175262
60,10,0.005237774088079989
61,4,0.0028600030476701984
62,7,0.003928685597827133
63,8,0.004351584130111994
64,11,0.0056079399204978
65,10,0.005229202249349788
66,9,0.0045118500156691695
67,3,0.00253633946638863
68,9,0.004604780567592408
69,9,0.0047815680593830505
70,24,0.02129556238844119
71,8,0.004296653767724128
72,10,0.005338490509396643
73,15,0.008368268539275466
74,12,0.0067028116002771036
75,16,0.009827988171007654
76,4,0.0028702542575013055
77,5,0.0032304491988951775
78,7,0.0037232306705328963
79,4,0.0027622863280758673
80,9,0.00479915858304024
81,5,0.0033034184555233354
