Time,GroundTruth,AuditTracking
0,-0.007117942135097408,0.013366562432915757
1,0.09574314474397734,0.08103085825067899
2,0.10990624179927905,0.10125844322343065
3,0.17639684071210632,0.17917948985408189
4,0.16866574815973487,0.16273064871115492
5,0.16521420520323057,0.1673918656850139
6,0.2029732294571265,0.1973016089901299
7,0.24425556188275763,0.24032192823702686
8,0.23860210139769147,0.23219224009207673
9,0.12021022166128612,0.13137040035096978
10,0.11185775003095946,0.10906541399490458
11,0.14612764840659614,0.12647094638467168
12,0.14730265383084262,0.14547536650914725
13,0.17011271780539852,0.16098006990200495
14,0.18363735690871938,0.20529574238431184
15,0.11188694971539768,0.11732184350718305
16,0.15602780702463614,0.17508857403124845
17,0.12702372382762261,0.1286895187820936
18,0.10194545863014229,0.11575947739580117
19,0.13149312335301844,0.14296641417616565
20,0.09491231083037496,0.10328297230599884
21,0.10800008389895292,0.08190408361845261
22,0.06521030494816213,0.06820433417702305
23,0.05583400933300724,0.07624565305825652
24,0.03715969486125973,0.037361600257730464
25,0.014061146528310812,0.031611028147019965
26,-0.026762158681908493,-0.03396693749742748
27,-0.02901832380757861,-0.03362068795616006
28,-0.02295193499236267,-0.012623367145778351
29,0.023345703983762428,0.002142607375934965
30,-0.00534528083023568,0.019742500196071263
31,-0.0027101253279376196,-0.006839985181298889
32,0.1076554040178648,0.1273566539085541
33,0.12724649749156797,0.11827700626842003
34,0.15138216887784392,0.16265856709752471
35,0.17304886993316224,0.16681171262175282
36,0.08783428522221014,0.06475573503864519
37,0.07563888190475902,0.0692881025179591
38,-0.03134630765944836,-0.03304948792094587
39,0.011719824992754549,0.01891780809425328
40,0.09673404487463495,0.08488723136567601
41,0.0702948047196729,0.0780897345599842
42,0.15846870059210288,0.15457917952682212
43,0.10238830921683711,0.07270340320103491
44,0.04279160087538509,0.057559972310439744
45,0.07042819676291323,0.08659836629059604
46,0.029629149319632536,0.024269929380204298
47,0.004796806858219621,0.001986787577307779
48,0.059108085023558306,0.05124840113074035
49,0.010374321189650357,0.01608087919900076
50,-0.003732469705878842,-0.012578226005549796
51,-0.009593177202764891,0.0028825999054578767
52,0.009334186115275969,0.007166949787427535
53,0.04594391847418966,0.026473361378242525
54,0.04076536674334703,0.05105990636116896
55,-0.019169947264525727,-0.012111305592244702
56,0.03133183154943749,0.003613419281150207
57,0.17509984804314865,0.1778872135588905
58,0.2161154802238942,0.2245329272214744
59,0.24414605552061927,0.24274404185018053
60,0.22536394555508046,0.2181706544505791
61,0.21275873062303988,0.23118708933263954
62,0.14327805826445084,0.13335782975983357
63,0.17414467210714302,0.20029319585395813
64,0.1673553197187973,0.15652862756022098
65,0.23175056755751128,0.2458523023999414
66,0.17990084768879006,0.20696900734383947
67,0.24811745457105125,0.22887960222030246
68,0.2326196227403552,0.23978599978201304
69,0.20206376679405283,0.1912477767159385
70,0.1779084779112401,0.18993447586810375
71,0.14745929353272014,0.16899673804933157
72,0.043042528650365994,0.0696679536503989
73,0.07500862855781523,0.09040774378388063
74,0.11372382619119611,0.10875058701874774
75,0.17765229623500944,0.18848380432784054
76,0.21291609720222326,0.2524156710608214
77,0.24571496624371408,0.2646202339725894
78,0.16178986445614196,0.19529984405768364
79,0.17094535783138215,0.18842642714569688
80,0.11428415342004383,0.09665448749452779
81,0.10032986787051239,0.09651766003859392
82,0.17016086282953055,0.1811358099661826
83,0.17177183498305557,0.15805361271804858
84,0.041088796403718986,0.051820328487514486
85,-0.008990085105998927,-0.03751207687587083
