Time_Step,RMSE_LSTM,RMSE_PhysicalAudit
0,0.013957316909335653,0.011611911096307024
1,0.006559963671890747,0.006245721884582962
2,0.016612664045786835,0.007562487649063614
3,0.01595853156896087,0.007802766485240763
4,0.013699331837037199,0.007847909715586344
5,0.015347822092891095,0.005764932613033484
6,0.008232153257637074,0.00856345479461862
7,0.011744920191454603,0.005593448819057565
8,0.015370797390994517,0.006346114839201354
9,0.014350547902791494,0.008789811971601974
10,0.008067171888048723,0.009565686785135854
11,0.011895358578628171,0.009079798607656947
12,0.011214340407971642,0.004532960121357777
13,0.007392891961657805,0.008528042411737546
14,0.005805382814126949,0.009407043832471174
15,0.01038077928653369,0.0060370447947076696
16,0.015053003317744805,0.00691690236000626
17,0.0130284851455411,0.004448668220021449
18,0.007268678081252184,0.0066568606125243885
19,0.004885911878538861,0.0065475909907047915
20,0.010144210383443285,0.010896874475966104
21,0.012858238240377724,0.005634431074029842
22,0.01468693473046576,0.0075833304037751246
23,0.010467645949919521,0.007922750387513874
24,0.009479544287105386,0.007272908033097544
25,0.011606778765837945,0.009393799728556387
26,0.019727482039999692,0.0091204118305862
27,0.017511974097083004,0.008993212961964158
28,0.014922627636395746,0.00799082984470003
29,0.01419547132563098,0.0037979423785018214
30,0.013221254073862107,0.009050631425358302
31,0.01446640528252819,0.0066013610476485405
32,0.012170891585733413,0.005372770205801323
33,0.015445833031736656,0.009910350218931168
34,0.009934616699030795,0.009955188722217158
35,0.016970500859127772,0.010685708291403915
36,0.013186678096226033,0.008109170094432868
37,0.010451462592153285,0.008444675247196847
38,0.010040849821856535,0.010274086566267014
39,0.011346348721610226,0.007193120781624433
40,0.013340494504692723,0.010857598775726464
41,0.012850685117545512,0.008324265775769907
42,0.01358140778316943,0.005172858785261594
43,0.011335126012061065,0.006081864358620715
44,0.005085631059507007,0.0059153190344696785
45,0.009382083288150244,0.011697943004998634
46,0.01623074667154707,0.00521097515190307
47,0.01385504380183952,0.009519882785060517
48,0.011238835906649439,0.008556231196315524
49,0.0073666927103013015,0.008677777679991462
50,0.018209342005221313,0.006872803478651933
51,0.012116156537307686,0.008898108763050586
52,0.01320904515162456,0.006724646590554195
53,0.014701326732561004,0.007312354590605718
54,0.017265853764440932,0.006637131390166639
55,0.009437695656447287,0.011342456360603414
56,0.007589923800726783,0.005425762479075107
57,0.014585282378833676,0.010493153839489221
58,0.010909624707661719,0.005251875084165063
59,0.012531362554987284,0.008499189677607261
60,0.014204193906036151,0.005748056967995233
61,0.012938696206107,0.007200442541376425
62,0.014661070678372433,0.006065189820613454
63,0.015347737406350915,0.006338892992203884
64,0.009217952380588562,0.006624384777719738
65,0.012029356998712503,0.006161897869045015
66,0.012717906934613681,0.003471296163401378
67,0.013854486977196228,0.00877704561085683
68,0.013568524703881054,0.008009793940544283
69,0.009732112949432017,0.007461655158213523
70,0.009951666767644982,0.006046188533199872
71,0.010285284675779202,0.008149056363637355
72,0.013106496114170892,0.010899794034194471
73,0.010494423013522242,0.009290143971157766
74,0.015239165154844315,0.009806071630981142
75,0.016487974034963226,0.006531533881917273
76,0.01173558373400964,0.008300829662168815
77,0.016083963340603757,0.006039618569761114
78,0.011936043020335518,0.009771612157838337
79,0.013769532468332103,0.008124092432608924
80,0.005029066034815502,0.007416770195564592
81,0.010183810176525915,0.002986875495634001
82,0.014005514622417973,0.009624917394467983
83,0.009418521538704424,0.011177087252438706
84,0.012762640618806892,0.008289740311876423
85,0.013970477304501716,0.004345608672278772
86,0.016050230237514312,0.003229034411049083
87,0.00850870312683543,0.00830648475629127
88,0.013157161042451973,0.0071906879358358535
89,0.008109398258477868,0.006524561002366443
90,0.016041444499972267,0.004897649492618327
91,0.01444447039498947,0.01161903345919829
92,0.013730536722653548,0.005435457396361525
93,0.008792780733876043,0.010913220021321082
94,0.013616774025833242,0.008000208837669873
95,0.011482933928902433,0.010469392250712282
96,0.010551769963670198,0.007812064045380377
97,0.015493341151427828,0.00828552593294782
98,0.018605844824565232,0.0053305033456027915
99,0.014540697428271132,0.007741683399527508
100,0.10384334717376806,0.00980392653004665
101,0.09797863646232421,0.008213811804022832
102,0.10295330815011014,0.006282212062586704
103,0.10696783904068004,0.010478860507818369
104,0.0880370002897593,0.010144404502558201
105,0.11559463131605019,0.008275982185694458
106,0.09761956801004645,0.012824593334915377
107,0.12415989625757992,0.007564915105175522
108,0.09593244194708545,0.010924396758661494
109,0.09526091856706662,0.005216289131094668
110,0.10031142514834288,0.004054410859722499
111,0.10665616643533038,0.007358702963212096
112,0.11134895012645471,0.011356686340642012
113,0.10218560179628769,0.014675005312730968
114,0.09363219164914052,0.00749350303559795
115,0.13742668218989315,0.01495217790718484
116,0.12274024484738516,0.004572155915479775
117,0.11295594360476292,0.010329005652463655
118,0.12263577932508797,0.011446273283334495
119,0.12362712247396064,0.013658869279359444
120,0.12881694788943393,0.003624019582378505
121,0.12380865449255578,0.014509011256649672
122,0.12420093792826836,0.00993075846373849
123,0.13356911705282776,0.006386398539970261
124,0.12100441759831224,0.01941441239717323
125,0.12095677958619727,0.012659065458001082
126,0.13053557054727333,0.012978321052377558
127,0.14069173759672812,0.006462509619650502
128,0.1299398291309677,0.008163302129358015
129,0.1367604383460825,0.011426541169921117
130,0.14318209706651258,0.001166678748790043
131,0.13521984928134315,0.01360659643319866
